id,endereco_livre,uf,cidade,timestamp
511,"praça boa viagem, 3709, boa viagem",PE,Recife,2025-11-19 18:37:34
512,"Av uruguaiana, 1274",RJ,Rio de Janeiro,2025-11-12 06:29:34
513,"avenida afonso pena, 4391, centro",MG,Belo Horizonte,2025-10-27 14:21:34
514,"LARGO MARQUES DE ITU, 2171, apto 101, VILA BUARQUE, São Paulo",SP,São Paulo,2025-11-24 14:58:34
515,"RUA MARQUES DE ITU, 1762, sala 20, VILA BUARQUE, São Paulo",SP,São Paulo,2025-11-22 18:04:34
516,"entregar na praça ipiranga, 3247 , republica",SP,São Paulo,2025-11-05 11:33:34
517,"RUA QUINZE DE NOVEMBRO, 3313, loja 2, CENTRO, São Paulo",SP,São Paulo,2025-11-08 21:14:34
518,"av ipiranga, 3786",SP,São Paulo,2025-11-01 16:42:34
519,"RUA DO OUVIDOR, 1821, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-20 08:26:34
520,"Al. rio branco, 615",RJ,Rio de Janeiro,2025-11-20 00:21:34
521,"Av. uruguaiana, 2717",RJ,Rio de Janeiro,2025-10-27 06:46:34
522,"VIELA PAULISTA, 3236, BELA VISTA",SP,São Paulo,2025-11-26 08:06:34
523,"ESTRADA AMAZONAS, 2900, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-10-28 15:32:34
524,"LARGO vinte e tres de maio, 1218",SP,São Paulo,2025-11-06 11:18:34
525,"LARGO afonso pena, 500",MG,Belo Horizonte,2025-11-14 16:23:34
526,"TRAVESSA REBOUCAS, 4454, , PINHEIROS, São Paulo",SP,São Paulo,2025-11-13 22:27:34
527,"entregar na largo dos andradas, 2819 ao lado da escola, centro",RS,Porto Alegre,2025-11-16 08:32:34
528,"entregar na rua quinze de novembro, 2613 perto da praça, centro",SP,São Paulo,2025-11-26 12:46:34
529,"PRAÇA DOS ANDRADAS, 4785, CENTRO, Porto Alegre",RS,Porto Alegre,2025-11-21 17:34:34
530,"ALAMEDA IPIRANGA, 4372, , REPUBLICA, São Paulo",SP,São Paulo,2025-11-02 13:13:34
531,"PRAÇA DO COMERCIO, 1424, SAO JOSE, Recife",PE,Recife,2025-11-19 02:29:34
532,"entregar na rua da aurora, 2881 ao lado da escola, boa vista",PE,Recife,2025-11-22 02:37:34
533,"ALAMEDA BORGES DE MEDEIROS, 1439, CENTRO",RS,Porto Alegre,2025-11-25 18:46:34
534,"entregar na travessa brigadeiro faria lima, 164 em frente ao banco, itam bibi",SP,São Paulo,2025-11-26 09:51:34
535,"ESTRADA REBOUCAS, 2792, perto da praça, PINHEIROS, São Paulo",SP,São Paulo,2025-10-28 10:46:34
536,"ESTRADA DAS FLORES, 4806, perto da praça, JARDIM, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-02 16:55:34
537,"praça w3 sul, 595, asa sul",DF,Brasília,2025-11-03 23:24:34
538,"praça presidente vargas, 2473, centro",RJ,Rio de Janeiro,2025-11-22 15:03:34
539,"LARGO AMAZONAS, 2600, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-04 03:05:34
540,"TRAVESSA DA AURORA, 4825, apto 201, BOA VISTA, Recife",PE,Recife,2025-11-14 11:03:34
541,"ESTRADA SAO JOAO, 1456, , REPUBLICA, São Paulo",SP,São Paulo,2025-10-26 22:13:34
542,"entregar na rua agamenon magalhaes, 1492 próximo ao mercado, derby",PE,Recife,2025-10-28 01:35:34
543,"largo presidente vargas, 1153, centro",RJ,Rio de Janeiro,2025-11-03 18:34:34
544,"PRAÇA DA AURORA, 1376, , BOA VISTA, Recife",PE,Recife,2025-10-30 22:07:34
545,"largo boavista, 94, boa viagem",PE,Recife,2025-11-20 13:05:34
546,"PRAÇA COPACABANA, 2103, apto 101, COPACABANA, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-03 20:46:34
547,"LARGO DO COMERCIO, 3438, SAO JOSE, Recife",PE,Recife,2025-10-29 07:18:34
548,"PRAÇA DO COMERCIO, 4474, SAO JOSE",PE,Recife,2025-11-23 04:59:34
549,"Est. brigadeiro faria lima, 3697",SP,São Paulo,2025-11-17 20:29:34
550,"avenida nove de julho, 608, republica",SP,São Paulo,2025-11-21 08:39:34
551,"entregar na avenida copacabana, 2769 ao lado da escola, copacabana",RJ,Rio de Janeiro,2025-10-29 05:04:34
552,"entregar na viela das flores, 1352 em frente ao banco, jardim",RJ,Rio de Janeiro,2025-11-21 19:43:34
553,"TRAVESSA BOAVISTA, 1557, BOA VIAGEM",PE,Recife,2025-11-04 03:03:34
554,"alameda w3 norte, 2307, asa norte",DF,Brasília,2025-11-19 17:46:34
555,"LARGO agamenon magalhaes, 1259",PE,Recife,2025-11-26 07:44:34
556,"LARGO sao joao, 1636",SP,São Paulo,2025-11-20 15:09:34
557,"AVENIDA SAO JOAO, 3880, apto 101, REPUBLICA, São Paulo",SP,São Paulo,2025-11-17 08:19:34
558,"ALAMEDA BORGES DE MEDEIROS, 747, ao lado da escola, CENTRO, Porto Alegre",RS,Porto Alegre,2025-11-14 15:26:34
559,"PRAÇA DO COMERCIO, 1529, SAO JOSE",PE,Recife,2025-11-25 12:21:34
560,"ALAMEDA TUPIS, 1854, sala 10, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-08 19:40:34
561,"AVENIDA PRESIDENTE VARGAS, 2817, bloco A, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-13 02:35:34
562,"RUA EIXO MONUMENTAL, 3172, bloco A, ASA NORTE, Brasília",DF,Brasília,2025-11-13 03:06:34
563,"travessa dos andradas, 3902, centro",RS,Porto Alegre,2025-11-24 07:52:34
564,"ESTRADA ATLANTICA, 986, loja 2, COPACABANA, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-21 15:36:34
565,"ESTRADA REBOUCAS, 350, PINHEIROS",SP,São Paulo,2025-11-23 23:22:34
566,"estrada reboucas, 4875, pinheiros",SP,São Paulo,2025-11-15 20:51:34
567,"entregar na avenida copacabana, 3180 em frente ao banco, copacabana",RJ,Rio de Janeiro,2025-11-09 09:55:34
568,"LARGO VINTE E TRES DE MAIO, 102, bloco B, LIBERDADE, São Paulo",SP,São Paulo,2025-11-08 03:59:34
569,"AVENIDA AFONSO PENA, 3396, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-22 02:12:34
570,"AVENIDA PRESIDENTE VARGAS, 4610, apto 101, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-01 10:54:34
571,"praça w3 norte, 3367, asa norte",DF,Brasília,2025-11-14 00:18:34
572,"rua dos andradas, 1411, centro",RS,Porto Alegre,2025-11-14 16:10:34
573,"rua agamenon magalhaes, 3243, derby",PE,Recife,2025-11-04 13:46:34
574,"Alameda dos andradas, 3052",RS,Porto Alegre,2025-10-31 11:30:34
575,"LARGO VINTE E TRES DE MAIO, 805, apto 301, LIBERDADE, São Paulo",SP,São Paulo,2025-11-22 11:02:34
576,"PRAÇA BAHIA, 2208, em frente ao banco, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-07 00:44:34
577,"LARGO REBOUCAS, 1732, loja 1, PINHEIROS, São Paulo",SP,São Paulo,2025-11-03 05:01:34
578,"entregar na praça w3 sul, 461 perto da praça, asa sul",DF,Brasília,2025-11-24 11:04:34
579,"VIELA PROTASIO ALVES, 1112, bloco A, PETROPOLIS, Porto Alegre",RS,Porto Alegre,2025-10-29 02:48:34
580,"TRAVESSA QUINZE DE NOVEMBRO, 1645, , CENTRO, São Paulo",SP,São Paulo,2025-11-19 19:20:34
581,"praça oswaldo cruz, 1632, botafogo",RJ,Rio de Janeiro,2025-11-15 06:17:34
582,"AVENIDA AGAMENON MAGALHAES, 251, DERBY, Recife",PE,Recife,2025-11-15 05:11:34
583,"entregar na estrada bahia, 3888 ao lado da escola, centro",MG,Belo Horizonte,2025-11-15 09:39:34
584,"avenida nove de julho, 2336",SP,São Paulo,2025-11-25 14:55:34
585,"TRAVESSA CONSOLACAO, 1845, perto da praça, CONSOLACAO, São Paulo",SP,São Paulo,2025-11-18 00:23:34
586,"RUA PROTASIO ALVES, 73, PETROPOLIS",RS,Porto Alegre,2025-10-28 16:08:34
587,"rua quinze de novembro, 1834, centro",SP,São Paulo,2025-11-07 11:04:34
588,"VIELA VINTE E TRES DE MAIO, 3085, sala 20, LIBERDADE, São Paulo",SP,São Paulo,2025-11-12 12:36:34
589,"ALAMEDA TUPIS, 4266, bloco B, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-14 02:43:34
590,"PRAÇA DO OUVIDOR, 4600, ao lado da escola, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-07 11:30:34
591,"largo presidente vargas, 523, centro",RJ,Rio de Janeiro,2025-11-18 00:29:34
592,"ALAMEDA VINTE E TRES DE MAIO, 2448, LIBERDADE, São Paulo",SP,São Paulo,2025-11-22 04:01:34
593,"RUA IPIRANGA, 4916, REPUBLICA",SP,São Paulo,2025-11-05 10:06:34
594,"rua uruguaiana, 4075, centro",RJ,Rio de Janeiro,2025-11-18 07:24:34
595,"RUA DO COMERCIO, 4777, ao lado da escola, SAO JOSE, Recife",PE,Recife,2025-10-31 14:28:34
596,"entregar na largo brigadeiro faria lima, 2937 próximo ao mercado, itam bibi",SP,São Paulo,2025-10-30 14:56:34
597,"estrada eixo monumental, 2407",DF,Brasília,2025-11-21 21:33:34
598,"ESTRADA EIXO MONUMENTAL, 2750, , ASA NORTE, Brasília",DF,Brasília,2025-11-19 09:35:34
599,"viela marques de itu, 2715, vila buarque",SP,São Paulo,2025-11-18 02:31:34
600,"av tupis, 3855",MG,Belo Horizonte,2025-11-06 02:12:34
601,"entregar na largo copacabana, 1594 , copacabana",RJ,Rio de Janeiro,2025-10-29 23:25:34
602,"Al w3 sul, 3385",DF,Brasília,2025-11-22 14:28:34
603,"largo afonso pena, 1174, centro",MG,Belo Horizonte,2025-10-29 22:38:34
604,"LARGO RIO BRANCO, 2725, perto da praça, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-16 00:46:34
605,"LARGO DO OUVIDOR, 2241, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-02 15:13:34
606,"LARGO PAULISTA, 722, BELA VISTA, São Paulo",SP,São Paulo,2025-11-07 07:09:34
607,"VIELA AMAZONAS, 3515, CENTRO",MG,Belo Horizonte,2025-11-14 20:47:34
608,"Travessa w3 norte, 3057",DF,Brasília,2025-11-02 04:37:34
609,"RUA DAS FLORES, 2039, JARDIM, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-04 09:30:34
610,"entregar na avenida uruguaiana, 3143 ao lado da escola, centro",RJ,Rio de Janeiro,2025-11-17 15:45:34
611,"ALAMEDA ATLANTICA, 2383, COPACABANA",RJ,Rio de Janeiro,2025-11-03 04:11:34
612,"PRAÇA W3 SUL, 3553, perto da praça, ASA SUL, Brasília",DF,Brasília,2025-11-16 05:27:34
613,"Est reboucas, 3305",SP,São Paulo,2025-11-18 21:41:34
614,"entregar na rua consolacao, 4831 perto da praça, consolacao",SP,São Paulo,2025-11-23 09:04:34
615,"VIELA ATLANTICA, 2096, bloco A, COPACABANA, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-07 19:11:34
616,"Av oswaldo cruz, 162",RJ,Rio de Janeiro,2025-11-23 07:21:34
617,"avenida do comercio, 4484, sao jose",PE,Recife,2025-11-10 22:40:34
618,"RUA CONSOLACAO, 2467, CONSOLACAO",SP,São Paulo,2025-11-05 17:07:34
619,"ALAMEDA W3 SUL, 4962, perto da praça, ASA SUL, Brasília",DF,Brasília,2025-11-13 17:17:34
620,"ALAMEDA PRIMEIRO DE MARÇO, 934, apto 101, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-11 14:11:34
621,"ALAMEDA REBOUCAS, 4286, PINHEIROS, São Paulo",SP,São Paulo,2025-11-14 22:23:34
622,"entregar na estrada sao joao, 323 em frente ao banco, republica",SP,São Paulo,2025-10-28 14:05:34
623,"Pç. dos andradas, 1922",RS,Porto Alegre,2025-11-05 17:51:34
624,"LARGO primeiro de março, 1222",RJ,Rio de Janeiro,2025-11-02 21:43:34
625,"travessa nove de julho, 3742, republica",SP,São Paulo,2025-11-18 06:46:34
626,"ESTRADA PRESIDENTE VARGAS, 324, sala 10, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-14 23:29:34
627,"AVENIDA AMAZONAS, 779, , CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-26 16:07:34
628,"PRAÇA PAULISTA, 2929, BELA VISTA",SP,São Paulo,2025-10-27 01:32:34
629,"PRAÇA RIO BRANCO, 2808, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-23 08:24:34
630,"ALAMEDA TUPIS, 3160, em frente ao banco, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-01 07:08:34
631,"AVENIDA PAULISTA, 1086, perto do metrô, BELA VISTA, São Paulo",SP,São Paulo,2025-11-25 15:43:34
632,"LARGO AFONSO PENA, 4661, em frente ao banco, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-21 01:25:34
633,"RUA DA AURORA, 1071, BOA VISTA",PE,Recife,2025-10-28 05:42:34
634,"LARGO afonso pena, 377",MG,Belo Horizonte,2025-11-06 10:49:34
635,"entregar na travessa w3 sul, 2772 ao lado da escola, asa sul",DF,Brasília,2025-11-03 22:10:34
636,"VIELA PRESIDENTE VARGAS, 2037, CENTRO",RJ,Rio de Janeiro,2025-11-14 23:06:34
637,"entregar na estrada do comercio, 4574 , sao jose",PE,Recife,2025-11-25 23:50:34
638,"LARGO PAULISTA, 4062, apto 201, BELA VISTA, São Paulo",SP,São Paulo,2025-11-24 05:29:34
639,"Pç ipiranga, 2279",SP,São Paulo,2025-11-09 00:25:34
640,"TRAVESSA AGAMENON MAGALHAES, 646, DERBY",PE,Recife,2025-11-12 02:21:34
641,"largo rio branco, 3663, centro",RJ,Rio de Janeiro,2025-11-23 05:02:34
642,"AVENIDA DAS FLORES, 3305, JARDIM",RJ,Rio de Janeiro,2025-11-25 03:14:34
643,"entregar na avenida do ouvidor, 4950 perto do metrô, centro",RJ,Rio de Janeiro,2025-11-17 04:14:34
644,"largo consolacao, 2793, consolacao",SP,São Paulo,2025-10-31 18:57:34
645,"entregar na largo brigadeiro faria lima, 2720 ao lado da escola, itam bibi",SP,São Paulo,2025-11-07 05:04:34
646,"LARGO conde da boa vista, 935",PE,Recife,2025-11-26 10:27:34
647,"Pç sao joao, 871",SP,São Paulo,2025-11-11 15:57:34
648,"entregar na avenida afonso pena, 2084 perto da praça, centro",MG,Belo Horizonte,2025-11-20 16:50:34
649,"TRAVESSA AGAMENON MAGALHAES, 3745, apto 301, DERBY, Recife",PE,Recife,2025-11-04 10:43:34
650,"rua afonso pena, 4824",MG,Belo Horizonte,2025-11-11 23:12:34
651,"Est. protasio alves, 4087",RS,Porto Alegre,2025-11-09 06:56:34
652,"ESTRADA DOS ANDRADAS, 4740, CENTRO, Porto Alegre",RS,Porto Alegre,2025-11-03 16:43:34
653,"PRAÇA DO COMERCIO, 4130, SAO JOSE",PE,Recife,2025-11-13 00:51:34
654,"alameda ipiranga, 3260, republica",SP,São Paulo,2025-11-17 05:58:34
655,"entregar na estrada uruguaiana, 3382 perto do metrô, centro",RJ,Rio de Janeiro,2025-10-28 21:17:34
656,"PRAÇA MARQUES DE ITU, 4535, perto da praça, VILA BUARQUE, São Paulo",SP,São Paulo,2025-11-20 14:10:34
657,"PRAÇA SAO JOAO, 1087, perto do metrô, REPUBLICA, São Paulo",SP,São Paulo,2025-10-27 15:17:34
658,"PRAÇA W3 NORTE, 946, sala 20, ASA NORTE, Brasília",DF,Brasília,2025-11-09 05:12:34
659,"ALAMEDA AFONSO PENA, 3461, , CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-10 17:48:34
660,"ESTRADA DO COMERCIO, 435, , SAO JOSE, Recife",PE,Recife,2025-11-20 12:01:34
661,"ALAMEDA PAULISTA, 2053, BELA VISTA, São Paulo",SP,São Paulo,2025-10-31 19:05:34
662,"Travessa sao joao, 4434",SP,São Paulo,2025-10-31 06:43:34
663,"TRAVESSA EIXO MONUMENTAL, 4598, ASA NORTE",DF,Brasília,2025-11-19 03:59:34
664,"RUA SAO JOAO, 3126, REPUBLICA",SP,São Paulo,2025-11-12 23:29:34
665,"RUA EIXO MONUMENTAL, 107, próximo ao mercado, ASA NORTE, Brasília",DF,Brasília,2025-11-20 00:54:34
666,"TRAVESSA BAHIA, 3013, bloco B, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-08 21:11:34
667,"TRAVESSA REBOUCAS, 2410, PINHEIROS",SP,São Paulo,2025-11-20 23:45:34
668,"estrada quinze de novembro, 4210",SP,São Paulo,2025-11-25 07:32:34
669,"ALAMEDA EIXO MONUMENTAL, 1066, ASA NORTE, Brasília",DF,Brasília,2025-11-08 12:49:34
670,"LARGO boavista, 1269",PE,Recife,2025-10-28 10:11:34
671,"ALAMEDA OSWALDO CRUZ, 4019, bloco B, BOTAFOGO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-09 09:45:34
672,"entregar na travessa boa viagem, 1507 , boa viagem",PE,Recife,2025-11-01 04:39:34
673,"viela afonso pena, 754, centro",MG,Belo Horizonte,2025-11-19 14:07:34
674,"praça boavista, 2956, boa viagem",PE,Recife,2025-11-20 01:16:34
675,"RUA DOS ANDRADAS, 940, próximo ao mercado, CENTRO, Porto Alegre",RS,Porto Alegre,2025-11-12 12:52:34
676,"RUA IPIRANGA, 2630, REPUBLICA",SP,São Paulo,2025-10-28 17:25:34
677,"entregar na alameda nove de julho, 203 próximo ao mercado, republica",SP,São Paulo,2025-11-10 04:21:34
678,"RUA BORGES DE MEDEIROS, 2429, perto da praça, CENTRO, Porto Alegre",RS,Porto Alegre,2025-11-16 04:44:34
679,"entregar na estrada presidente vargas, 4408 , centro",RJ,Rio de Janeiro,2025-11-06 18:36:34
680,"VIELA CONSOLACAO, 852, CONSOLACAO, São Paulo",SP,São Paulo,2025-11-08 21:53:34
681,"avenida amazonas, 1260",MG,Belo Horizonte,2025-11-04 10:47:34
682,"AVENIDA RIO BRANCO, 445, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-01 12:14:34
683,"TRAVESSA COPACABANA, 2119, COPACABANA",RJ,Rio de Janeiro,2025-11-14 06:09:34
684,"VIELA agamenon magalhaes, 2592",PE,Recife,2025-11-05 17:15:34
685,"Av do ouvidor, 4798",RJ,Rio de Janeiro,2025-10-30 18:27:34
686,"AVENIDA PROTASIO ALVES, 2375, sala 10, PETROPOLIS, Porto Alegre",RS,Porto Alegre,2025-11-07 18:31:34
687,"VIELA BAHIA, 3237, , CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-11 15:15:34
688,"ESTRADA BRIGADEIRO FARIA LIMA, 3204, bloco A, ITAM BIBI, São Paulo",SP,São Paulo,2025-11-17 00:40:34
689,"entregar na praça marques de itu, 92 ao lado da escola, vila buarque",SP,São Paulo,2025-11-22 17:47:34
690,"entregar na viela do ouvidor, 4401 , centro",RJ,Rio de Janeiro,2025-11-17 14:02:34
691,"TRAVESSA DA AURORA, 3381, ao lado da escola, BOA VISTA, Recife",PE,Recife,2025-11-22 15:38:34
692,"Al brigadeiro faria lima, 1592",SP,São Paulo,2025-11-05 01:55:34
693,"LARGO oswaldo cruz, 4503",RJ,Rio de Janeiro,2025-11-05 18:33:34
694,"TRAVESSA PRESIDENTE VARGAS, 4757, CENTRO",RJ,Rio de Janeiro,2025-10-27 10:27:34
695,"travessa uruguaiana, 820, centro",RJ,Rio de Janeiro,2025-11-07 17:52:34
696,"PRAÇA REBOUCAS, 3981, PINHEIROS",SP,São Paulo,2025-11-16 01:07:34
697,"entregar na estrada marques de itu, 4634 próximo ao mercado, vila buarque",SP,São Paulo,2025-11-01 10:22:34
698,"RUA PAULISTA, 2566, BELA VISTA, São Paulo",SP,São Paulo,2025-11-01 13:04:34
699,"ALAMEDA AMAZONAS, 2945, CENTRO, Belo Horizonte",MG,Belo Horizonte,2025-11-04 21:28:34
700,"largo dos andradas, 3649, centro",RS,Porto Alegre,2025-11-02 11:18:34
701,"AVENIDA EIXO MONUMENTAL, 1440, ao lado da escola, ASA NORTE, Brasília",DF,Brasília,2025-11-24 11:55:34
702,"TRAVESSA URUGUAIANA, 2157, perto do metrô, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-23 21:45:34
703,"entregar na rua das flores, 4767 em frente ao banco, jardim",RJ,Rio de Janeiro,2025-11-02 02:36:34
704,"entregar na alameda atlantica, 4453 em frente ao banco, copacabana",RJ,Rio de Janeiro,2025-11-06 16:26:34
705,"TRAVESSA AGAMENON MAGALHAES, 4831, próximo ao mercado, DERBY, Recife",PE,Recife,2025-11-22 06:17:34
706,"avenida protasio alves, 3251, petropolis",RS,Porto Alegre,2025-11-10 20:07:34
707,"ESTRADA IPIRANGA, 4212, REPUBLICA, São Paulo",SP,São Paulo,2025-11-12 15:38:34
708,"LARGO setembro, 2940",RJ,Rio de Janeiro,2025-11-02 05:35:34
709,"ALAMEDA COPACABANA, 3027, COPACABANA, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-24 23:36:34
710,"PRAÇA W3 SUL, 3180, ASA SUL",DF,Brasília,2025-10-28 05:53:34
711,"RUA atlantica, 2655",RJ,Rio de Janeiro,2025-11-06 11:56:34
712,"ESTRADA NOVE DE JULHO, 3086, em frente ao banco, REPUBLICA, São Paulo",SP,São Paulo,2025-11-15 02:08:34
713,"ALAMEDA COPACABANA, 3083, COPACABANA, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-10 08:27:34
714,"entregar na largo da aurora, 3950 , boa vista",PE,Recife,2025-11-10 16:21:34
715,"entregar na travessa paulista, 632 perto do metrô, bela vista",SP,São Paulo,2025-11-18 14:40:34
716,"entregar na estrada quinze de novembro, 2968 perto do metrô, centro",SP,São Paulo,2025-10-31 17:07:34
717,"VIELA BRIGADEIRO FARIA LIMA, 2706, , ITAM BIBI, São Paulo",SP,São Paulo,2025-11-10 23:19:34
718,"TRAVESSA DOS ANDRADAS, 4840, CENTRO, Porto Alegre",RS,Porto Alegre,2025-11-06 07:48:34
719,"entregar na rua ipiranga, 1048 ao lado da escola, republica",SP,São Paulo,2025-11-21 16:09:34
720,"RUA PROTASIO ALVES, 4689, PETROPOLIS, Porto Alegre",RS,Porto Alegre,2025-11-25 15:33:34
721,"entregar na viela quinze de novembro, 4910 perto do metrô, centro",SP,São Paulo,2025-11-25 21:03:34
722,"AVENIDA SAO JOAO, 1775, REPUBLICA",SP,São Paulo,2025-11-07 04:54:34
723,"ESTRADA DOS ANDRADAS, 1798, loja 1, CENTRO, Porto Alegre",RS,Porto Alegre,2025-11-07 15:59:34
724,"ALAMEDA QUINZE DE NOVEMBRO, 1374, perto do metrô, CENTRO, São Paulo",SP,São Paulo,2025-11-16 06:11:34
725,"TRAVESSA COPACABANA, 3099, COPACABANA",RJ,Rio de Janeiro,2025-11-22 17:48:34
726,"entregar na viela reboucas, 1226 , pinheiros",SP,São Paulo,2025-11-21 04:52:34
727,"AVENIDA ATLANTICA, 764, COPACABANA",RJ,Rio de Janeiro,2025-11-05 15:52:34
728,"entregar na rua w3 norte, 3535 em frente ao banco, asa norte",DF,Brasília,2025-11-15 19:05:34
729,"VIELA W3 SUL, 1880, loja 2, ASA SUL, Brasília",DF,Brasília,2025-11-01 08:27:34
730,"viela presidente vargas, 1097, centro",RJ,Rio de Janeiro,2025-11-11 12:51:34
731,"entregar na alameda rio branco, 4902 em frente ao banco, centro",RJ,Rio de Janeiro,2025-11-18 14:49:34
732,"avenida do ouvidor, 4258",RJ,Rio de Janeiro,2025-11-06 14:05:34
733,"VIELA boa viagem, 2968",PE,Recife,2025-11-13 00:12:34
734,"ALAMEDA NOVE DE JULHO, 4392, REPUBLICA",SP,São Paulo,2025-11-08 09:10:34
735,"VIELA VINTE E TRES DE MAIO, 1669, LIBERDADE",SP,São Paulo,2025-11-09 03:19:34
736,"entregar na praça quinze de novembro, 4581 em frente ao banco, centro",SP,São Paulo,2025-11-18 11:13:34
737,"VIELA DA AURORA, 1132, apto 101, BOA VISTA, Recife",PE,Recife,2025-11-03 13:21:34
738,"entregar na avenida paulista, 1757 em frente ao banco, bela vista",SP,São Paulo,2025-11-01 09:58:34
739,"RUA EIXO MONUMENTAL, 1317, ASA NORTE",DF,Brasília,2025-10-27 00:49:34
740,"entregar na estrada rio branco, 3864 em frente ao banco, centro",RJ,Rio de Janeiro,2025-11-24 18:33:34
741,"entregar na praça brigadeiro faria lima, 656 , itam bibi",SP,São Paulo,2025-11-03 07:50:34
742,"Al agamenon magalhaes, 4895",PE,Recife,2025-11-06 05:21:34
743,"travessa do ouvidor, 4245, centro",RJ,Rio de Janeiro,2025-11-20 18:59:34
744,"TRAVESSA PROTASIO ALVES, 1389, , PETROPOLIS, Porto Alegre",RS,Porto Alegre,2025-11-15 13:08:34
745,"estrada do ouvidor, 712, centro",RJ,Rio de Janeiro,2025-11-02 08:27:34
746,"VIELA AGAMENON MAGALHAES, 4802, DERBY, Recife",PE,Recife,2025-11-10 20:02:34
747,"avenida copacabana, 4503, copacabana",RJ,Rio de Janeiro,2025-11-03 02:51:34
748,"PRAÇA DA AURORA, 2266, BOA VISTA, Recife",PE,Recife,2025-11-07 14:20:34
749,"RUA AGAMENON MAGALHAES, 2139, DERBY, Recife",PE,Recife,2025-11-13 04:43:34
750,"avenida eixo monumental, 4122, asa norte",DF,Brasília,2025-11-16 16:58:34
751,"ALAMEDA PROTASIO ALVES, 4407, bloco B, PETROPOLIS, Porto Alegre",RS,Porto Alegre,2025-11-17 22:21:34
752,"LARGO DO COMERCIO, 1993, sala 20, SAO JOSE, Recife",PE,Recife,2025-10-27 06:06:34
753,"Rua tupis, 3949",MG,Belo Horizonte,2025-11-24 08:09:34
754,"TRAVESSA BRIGADEIRO FARIA LIMA, 2587, ITAM BIBI",SP,São Paulo,2025-10-27 09:16:34
755,"RUA W3 NORTE, 2158, ASA NORTE, Brasília",DF,Brasília,2025-11-17 18:24:34
756,"AVENIDA BOAVISTA, 4543, BOA VIAGEM, Recife",PE,Recife,2025-11-11 10:27:34
757,"ALAMEDA CONSOLACAO, 1498, perto do metrô, CONSOLACAO, São Paulo",SP,São Paulo,2025-10-28 14:18:34
758,"TRAVESSA REBOUCAS, 1983, sala 10, PINHEIROS, São Paulo",SP,São Paulo,2025-11-20 13:37:34
759,"PRAÇA IPIRANGA, 1278, apto 101, REPUBLICA, São Paulo",SP,São Paulo,2025-11-23 18:06:34
760,"rua borges de medeiros, 4436",RS,Porto Alegre,2025-11-15 01:29:34
761,"ALAMEDA BORGES DE MEDEIROS, 4021, CENTRO, Porto Alegre",RS,Porto Alegre,2025-11-02 04:32:34
762,"TRAVESSA AGAMENON MAGALHAES, 4725, DERBY, Recife",PE,Recife,2025-11-25 03:58:34
763,"LARGO amazonas, 4430",MG,Belo Horizonte,2025-11-13 23:00:34
764,"LARGO QUINZE DE NOVEMBRO, 987, ao lado da escola, CENTRO, São Paulo",SP,São Paulo,2025-11-12 10:05:34
765,"RUA DO OUVIDOR, 1727, CENTRO",RJ,Rio de Janeiro,2025-11-08 17:29:34
766,"entregar na alameda conde da boa vista, 1534 próximo ao mercado, derby",PE,Recife,2025-11-19 12:19:34
767,"PRAÇA BOAVISTA, 1507, BOA VIAGEM",PE,Recife,2025-11-13 14:23:34
768,"praça conde da boa vista, 3282, derby",PE,Recife,2025-11-12 15:13:34
769,"TRAVESSA URUGUAIANA, 819, próximo ao mercado, CENTRO, Rio de Janeiro",RJ,Rio de Janeiro,2025-11-01 13:14:34
